code;name;description
IIC1005;Computación: Ciencia y Tecnología del Mundo Digital;El major en Computación busca posicionar a los estudiantes como protagonistas de los más importantes desafíos del siglo XXI, tales como las redes sociales, las redes de empresas, la salud, la educación, el urbanismo, la robótica, la astronomía, las finanzas, el marketing, la optimización y muchos otros. En todos estos ámbitos, la componente computacional se ha convertido en fundamental y, muchas veces, en la única posibilita-dora de grandes avances y soluciones radicales. Este curso responde la pregunta ¿qué es la computación hoy? Para ello, se presenta un conjunto de temas que abordan los aspectos científicos, tecnológicos y sociales de la computación, que, por una parte, explican por qué esta disciplina tiene hoy en día este rol tan central y, por otra, nos ayudan a entender cómo podemos aprovechar mejor las oportunidades que ella nos ofrece. Así, el curso proporciona las herramientas teóricas y prácticas básicas para navegar por un mundo cargado de tecnología, y para ser usuarios y desarrolladores de soluciones tecnológicas modernas. El aprendizaje se refuerza con discusiones y proyectos, que simulan ejemplos y escenarios realistas.
IIC2685;Robótica Móvil;El curso busca que el alumno sea capaz de programar un robot para tareas de navegación autónoma. Para ello, se estudian las distintas componentes de percepción del robot. Se estudia la planificación de trayectorias, evasión de obstáculos y razonamiento lógico. Además, se estudian modelos de decisión adecuados para que sean programados y el robot logre movilidad libre.
